Line Number,Source,Target
89,MA_NorthWindDB.dbo.Orders.ShipAddress,MA_NorthWindDB.dbo.Orders_Extract.ShipAddressConcat
89,MA_NorthWindDB.dbo.Orders.ShipCity,MA_NorthWindDB.dbo.Orders_Extract.ShipAddressConcat
89,MA_NorthWindDB.dbo.Orders.ShipRegion,MA_NorthWindDB.dbo.Orders_Extract.ShipAddressConcat
89,MA_NorthWindDB.dbo.Orders.ShipPostalCode,MA_NorthWindDB.dbo.Orders_Extract.ShipAddressConcat
89,MA_NorthWindDB.dbo.Orders.ShipCountry,MA_NorthWindDB.dbo.Orders_Extract.ShipAddressConcat
117,MA_NorthWindDB.dbo.Orders.OrderID,MA_NorthWindDB.dbo.Orders_1996_Extract.OrderID
117,MA_NorthWindDB.dbo.Orders.CustomerID,MA_NorthWindDB.dbo.Orders_1996_Extract.CustomerID
117,MA_NorthWindDB.dbo.Orders.EmployeeID,MA_NorthWindDB.dbo.Orders_1996_Extract.EmployeeID
117,MA_NorthWindDB.dbo.Orders.OrderDate,MA_NorthWindDB.dbo.Orders_1996_Extract.OrderDate
117,MA_NorthWindDB.dbo.Orders.OrderDate,MA_NorthWindDB.dbo.Orders_1996_Extract.OrderDate_Month
117,MA_NorthWindDB.dbo.Orders.RequiredDate,MA_NorthWindDB.dbo.Orders_1996_Extract.RequiredDate
117,MA_NorthWindDB.dbo.Orders.OrderDate,MA_NorthWindDB.dbo.Orders_1996_Extract.Days_order_shipment
117,MA_NorthWindDB.dbo.Orders.ShippedDate,MA_NorthWindDB.dbo.Orders_1996_Extract.Days_order_shipment
117,MA_NorthWindDB.dbo.Orders.ShippedDate,MA_NorthWindDB.dbo.Orders_1996_Extract.ShippedDate
117,MA_NorthWindDB.dbo.Orders.ShipVia,MA_NorthWindDB.dbo.Orders_1996_Extract.ShipVia
117,MA_NorthWindDB.dbo.Orders.Freight,MA_NorthWindDB.dbo.Orders_1996_Extract.Freight
117,MA_NorthWindDB.dbo.Orders.ShipName,MA_NorthWindDB.dbo.Orders_1996_Extract.ShipName
117,MA_NorthWindDB.dbo.Orders.ShipAddress,MA_NorthWindDB.dbo.Orders_1996_Extract.ShipAddress
