DB|Table|Concat|ID||||||||
Stagingcontainer|Order_Details_Product_AGGR|StagingcontainerOrder_Details_Product_AGGR|68||||||||
Stagingcontainer|Order_Details_Extract|StagingcontainerOrder_Details_Extract|69||||||||
Stagingcontainer|Order_Details_1996_Extract|StagingcontainerOrder_Details_1996_Extract|70||||||||
Stagingcontainer|Order_Details_1997_Extract|StagingcontainerOrder_Details_1997_Extract|71||||||||
Stagingcontainer|Order_Details_1998_Extract|StagingcontainerOrder_Details_1998_Extract|72||||||||
Stagingcontainer|Orders|StagingcontainerOrders|73||||||||
Stagingcontainer|Orders_1996_Extract|StagingcontainerOrders_1996_Extract|74||||||||
Stagingcontainer|Orders_1997_Extract|StagingcontainerOrders_1997_Extract|75||||||||
Stagingcontainer|Orders_1998_Extract|StagingcontainerOrders_1998_Extract|76||||||||
Stagingcontainer|Orders_Extract|StagingcontainerOrders_Extract|77||||||||
Stagingcontainer|Products|StagingcontainerProducts|78||||||||
Stagingcontainer|Products_Extract|StagingcontainerProducts_Extract|79||||||||
Stagingcontainer|Region|StagingcontainerRegion|80||||||||
Stagingcontainer|Region_Extract|StagingcontainerRegion_Extract|81||||||||
Stagingcontainer|Shippers|StagingcontainerShippers|82||||||||
Stagingcontainer|Shippers_Extract|StagingcontainerShippers_Extract|83||||||||
Stagingcontainer|Suppliers|StagingcontainerSuppliers|84||||||||
Stagingcontainer|Suppliers_Extract|StagingcontainerSuppliers_Extract|85||||||||
Stagingcontainer|Territories|StagingcontainerTerritories|86||||||||
Stagingcontainer|Territories_Extract|StagingcontainerTerritories_Extract|87||||||||
Stagingcontainer|Categories_Extract.csv|StagingcontainerCategories_Extract.csv|88||||||||
Stagingcontainer|Customers_Extract.csv|StagingcontainerCustomers_Extract.csv|89||||||||
Stagingcontainer|Employees_Extract.csv|StagingcontainerEmployees_Extract.csv|90||||||||
Stagingcontainer|EmployeeTerritories_Extract.csv|StagingcontainerEmployeeTerritories_Extract.csv|91||||||||
Stagingcontainer|Order_Details_Extract.csv|StagingcontainerOrder_Details_Extract.csv|92||||||||
Stagingcontainer|Order_Details_1996_Extract.csv|StagingcontainerOrder_Details_1996_Extract.csv|93||||||||
Stagingcontainer|Order_Details_1997_Extract.csv|StagingcontainerOrder_Details_1997_Extract.csv|94||||||||
Stagingcontainer|Order_Details_1998_Extract.csv|StagingcontainerOrder_Details_1998_Extract.csv|95||||||||
Stagingcontainer|Orders_1996_Extract.csv|StagingcontainerOrders_1996_Extract.csv|96||||||||
Stagingcontainer|Orders_1997_Extract.csv|StagingcontainerOrders_1997_Extract.csv|97||||||||
Stagingcontainer|Orders_1998_Extract.csv|StagingcontainerOrders_1998_Extract.csv|98||||||||
Stagingcontainer|Orders_Extract.csv|StagingcontainerOrders_Extract.csv|99||||||||
Stagingcontainer|Products_Extract.csv|StagingcontainerProducts_Extract.csv|100||||||||
Stagingcontainer|Region_Extract.csv|StagingcontainerRegion_Extract.csv|101||||||||
Stagingcontainer|Shippers_Extract.csv|StagingcontainerShippers_Extract.csv|102||||||||
Stagingcontainer|Suppliers_Extract.csv|StagingcontainerSuppliers_Extract.csv|103||||||||
Stagingcontainer|Territories_Extract.csv|StagingcontainerTerritories_Extract.csv|104||||||||
Stagingcontainer|DIM_Supplier|StagingcontainerDIM_Supplier|105||||||||
Stagingcontainer|DIM_Product|StagingcontainerDIM_Product|106||||||||
Stagingcontainer|DIM_Customer|StagingcontainerDIM_Customer|107||||||||
Stagingcontainer|DIM_Employee|StagingcontainerDIM_Employee|108||||||||
Stagingcontainer|FCT_Order|StagingcontainerFCT_Order|109||||||||
Stagingcontainer|DIM_Time|StagingcontainerDIM_Time|110||||||||
Rationalisatie_centralDB|[Order Details]|Rationalisatie_centralDB[Order Details]|111||||||||
Rationalisatie_centralDB|Categories|Rationalisatie_centralDBCategories|112||||||||
Rationalisatie_centralDB|Categories_Extract|Rationalisatie_centralDBCategories_Extract|113||||||||
Rationalisatie_centralDB|Customers|Rationalisatie_centralDBCustomers|114||||||||
Rationalisatie_centralDB|Customers_Extract|Rationalisatie_centralDBCustomers_Extract|115||||||||
Rationalisatie_centralDB|Employees|Rationalisatie_centralDBEmployees|116||||||||
Rationalisatie_centralDB|Employees_Extract|Rationalisatie_centralDBEmployees_Extract|117||||||||
Rationalisatie_centralDB|EmployeeTerritories|Rationalisatie_centralDBEmployeeTerritories|118||||||||
Rationalisatie_centralDB|EmployeeTerritories_Extract|Rationalisatie_centralDBEmployeeTerritories_Extract|119||||||||
Rationalisatie_centralDB|Order_Details_Order_AGGR|Rationalisatie_centralDBOrder_Details_Order_AGGR|120||||||||
Rationalisatie_centralDB|Order_Details_Product_AGGR|Rationalisatie_centralDBOrder_Details_Product_AGGR|121||||||||
Rationalisatie_centralDB|Order_Details_Extract|Rationalisatie_centralDBOrder_Details_Extract|122||||||||
Rationalisatie_centralDB|Order_Details_1996_Extract|Rationalisatie_centralDBOrder_Details_1996_Extract|123||||||||
Rationalisatie_centralDB|Order_Details_1997_Extract|Rationalisatie_centralDBOrder_Details_1997_Extract|124||||||||
Rationalisatie_centralDB|Order_Details_1998_Extract|Rationalisatie_centralDBOrder_Details_1998_Extract|125||||||||
Rationalisatie_centralDB|Orders|Rationalisatie_centralDBOrders|126||||||||
Rationalisatie_centralDB|Orders_1996_Extract|Rationalisatie_centralDBOrders_1996_Extract|127||||||||
Rationalisatie_centralDB|Orders_1997_Extract|Rationalisatie_centralDBOrders_1997_Extract|128||||||||
Rationalisatie_centralDB|Orders_1998_Extract|Rationalisatie_centralDBOrders_1998_Extract|129||||||||
Rationalisatie_centralDB|Orders_Extract|Rationalisatie_centralDBOrders_Extract|130||||||||
Rationalisatie_centralDB|Products|Rationalisatie_centralDBProducts|131||||||||
Rationalisatie_centralDB|Products_Extract|Rationalisatie_centralDBProducts_Extract|132||||||||
Rationalisatie_centralDB|Region|Rationalisatie_centralDBRegion|133||||||||
Rationalisatie_centralDB|Region_Extract|Rationalisatie_centralDBRegion_Extract|134||||||||
Rationalisatie_centralDB|Shippers|Rationalisatie_centralDBShippers|135||||||||
Rationalisatie_centralDB|Shippers_Extract|Rationalisatie_centralDBShippers_Extract|136||||||||
Rationalisatie_centralDB|Suppliers|Rationalisatie_centralDBSuppliers|137||||||||
Rationalisatie_centralDB|Suppliers_Extract|Rationalisatie_centralDBSuppliers_Extract|138||||||||
Rationalisatie_centralDB|Territories|Rationalisatie_centralDBTerritories|139||||||||
Rationalisatie_centralDB|Territories_Extract|Rationalisatie_centralDBTerritories_Extract|140||||||||
Rationalisatie_centralDB|Categories_Extract.csv|Rationalisatie_centralDBCategories_Extract.csv|141||||||||
Rationalisatie_centralDB|Customers_Extract.csv|Rationalisatie_centralDBCustomers_Extract.csv|142||||||||
Rationalisatie_centralDB|Employees_Extract.csv|Rationalisatie_centralDBEmployees_Extract.csv|143||||||||
Rationalisatie_centralDB|EmployeeTerritories_Extract.csv|Rationalisatie_centralDBEmployeeTerritories_Extract.csv|144||||||||
Rationalisatie_centralDB|Order_Details_Extract.csv|Rationalisatie_centralDBOrder_Details_Extract.csv|145||||||||
Rationalisatie_centralDB|Order_Details_1996_Extract.csv|Rationalisatie_centralDBOrder_Details_1996_Extract.csv|146||||||||
